,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312
ylfkfs,126,85,106,142,177,156,168,173,151,198,157,177,ylfkfs,0,0,0,0,0,1,2,0,1,1,0,0
zycs,127,85,106,117,157,157,168,172,151,152,157,155,zycs,0,0,0,0,0,1,2,0,1,1,0,0
bah,0,0,0,0,0,1,0,0,0,0,0,1,bah,0,0,0,0,1,0,1,0,1,0,0,0
xb,124,85,106,117,157,156,168,172,151,152,157,154,xb,0,0,0,0,0,1,2,0,1,1,0,0
csrq,0,0,0,0,0,1,0,0,0,0,0,0,csrq,0,0,0,0,0,0,1,0,1,0,0,0
nl,62,79,44,119,127,74,91,83,50,149,63,137,nl,0,0,0,0,0,0,0,0,0,0,0,0
zy,126,87,107,118,161,157,168,172,151,153,158,155,zy,0,0,0,0,0,1,2,0,1,1,0,0
xzz_xzqh,127,85,107,145,175,157,168,172,151,176,157,185,xzz_xzqh,0,0,0,0,0,1,2,0,1,1,0,0
rytj,67,44,51,54,75,77,97,90,57,74,69,69,rytj,0,0,0,0,0,1,2,0,1,1,0,0
rysj,67,46,52,54,79,78,97,91,57,75,70,71,rysj,0,0,0,0,0,0,0,0,0,0,0,0
cysj,0,0,0,0,0,0,0,0,0,0,0,0,cysj,0,0,0,0,0,0,0,0,0,0,0,0
cykb,0,0,0,0,0,0,0,0,0,0,0,0,cykb,0,0,0,0,0,1,2,0,1,1,0,0
sjzyts,119,85,93,165,187,145,162,145,131,188,119,186,sjzyts,0,0,0,0,1,1,1,0,1,1,0,0
jbbm1,28,6,2,10,44,53,66,51,25,51,34,37,jbbm1,0,1,0,0,0,1,2,0,1,1,0,0
bwhbz,0,0,0,0,0,0,0,0,0,0,0,0,bwhbz,0,0,0,0,0,1,2,0,1,1,0,0
zyzd,124,85,106,117,157,155,168,172,151,152,157,154,zyzd,0,0,0,0,0,0,1,0,1,0,0,1
jbdm,29,7,2,19,44,54,67,51,26,51,35,37,jbdm,0,0,0,0,0,1,2,0,1,1,0,0
rybq,67,44,51,54,75,77,97,90,57,74,69,69,rybq,0,0,0,0,0,2,2,0,1,1,1,0
lyfs,30,7,2,9,44,54,67,51,26,51,35,37,lyfs,0,0,0,0,0,1,2,0,1,1,0,0
sfzzyjh,119,125,93,176,203,147,161,145,131,195,119,209,sfzzyjh,0,0,0,0,0,1,2,0,1,1,0,0
